depth,gamma
2825.687,27.8704
2825.8536,27.8108
2826.0203,26.8971
2826.187,23.5293
2826.3536,28.7785
2826.5203,32.3049
2826.687,31.8429
2826.8536,28.7659
2827.0203,30.6403
2827.187,32.935
2827.3536,30.6063
2827.5203,26.7527
2827.687,25.3446
2827.8536,26.0239
2828.0203,27.7693
2828.187,26.9202
2828.3536,28.2199
2828.5203,27.5386
2828.687,27.5756
2828.8536,25.9197
2829.0203,26.9007
2829.187,24.8128
2829.3536,25.4645
2829.5203,25.1283
2829.687,26.7125
2829.8536,26.7649
2830.0203,26.9346
2830.187,28.3514
2830.3536,30.9819
2830.5203,28.2745
2830.687,29.7264
2830.8536,27.4463
2831.0203,27.7589
2831.187,27.6341
2831.3536,29.4333
2831.5203,29.4653
2831.687,30.0861
2831.8536,32.378
2832.0203,35.7288
2832.187,35.148
2832.3536,33.6455
2832.5203,33.1523
2832.687,31.4829
2832.8536,30.0586
2833.0203,30.6925
2833.187,34.1631
2833.3536,35.0886
2833.5203,30.8123
2833.687,27.1905
2833.8536,24.8206
2834.0203,25.9196
2834.187,24.6388
2834.3536,24.943
2834.5203,27.3804
2834.687,29.6842
2834.8536,31.4785
2835.0203,28.2819
2835.187,25.8875
2835.3536,26.9698
2835.5203,27.4111
2835.687,30.4593
2835.8536,26.2699
2836.0203,26.031
2836.187,21.6429
2836.3536,21.6132
2836.5203,23.9001
2836.687,27.3215
2836.8536,28.6556
2837.0203,30.0658
2837.187,33.1852
2837.3536,37.1886
2837.5203,36.5552
2837.687,34.5548
2837.8536,32.9368
2838.0203,30.6388
2838.187,28.932
2838.3536,29.5178
2838.5203,28.3506
2838.687,27.0178
2838.8536,26.0664
2839.0203,27.6492
2839.187,25.6166
2839.3536,22.3874
2839.5203,20.7426
2839.687,25.7395
2839.8536,28.4433
2840.0203,32.0921
2840.187,31.4672
2840.3536,31.4802
2840.5203,28.6
2840.687,25.9595
2840.8536,26.0313
2841.0203,29.4594
2841.187,32.4721
2841.3536,32.8488
2841.5203,30.0603
2841.687,28.972
2841.8536,28.6378
2842.0203,27.2808
2842.187,28.2323
2842.3536,30.2838
2842.5203,34.2327
2842.687,33.4084
2842.8536,30.085
2843.0203,30.1985
2843.187,30.9814
2843.3536,31.3974
2843.5203,31.4257
2843.687,29.0149
2843.8536,30.2299
2844.0203,32.7747
2844.187,37.5937
2844.3536,40.3638
2844.5203,41.632
2844.687,43.3935
2844.8536,45.2929
2845.0203,44.7816
2845.187,48.2692
2845.3536,46.8426
2845.5203,48.0218
2845.687,46.9791
2845.8536,56.479
2846.0203,58.7417
2846.187,63.6975
2846.3536,64.0666
2846.5203,68.8486
2846.687,67.8888
2846.8536,68.45
2847.0203,66.0232
2847.187,73.0187
2847.3536,76.593
2847.5203,78.7151
2847.687,75.6457
2847.8536,73.7312
2848.0203,71.8014
2848.187,65.7846
2848.3536,63.2883
2848.5203,60.7411
2848.687,63.6849
2848.8536,63.5347
2849.0203,70.6338
2849.187,69.5963
2849.3536,63.9394
2849.5203,57.0487
2849.687,56.246
2849.8536,59.4544
2850.0203,61.6268
2850.187,62.7137
2850.3536,64.9803
2850.5203,68.0119
2850.687,70.4734
2850.8536,67.5768
2851.0203,63.6252
2851.187,62.6671
2851.3536,60.8131
2851.5203,60.1882
2851.687,57.9833
2851.8536,57.488
2852.0203,56.2335
2852.187,55.2132
2852.3536,53.1926
2852.5203,52.5932
2852.687,55.4131
2852.8536,61.5134
2853.0203,63.4872
2853.187,58.2077
2853.3536,54.259
2853.5203,54.7015
2853.687,62.6209
2853.8536,67.0457
2854.0203,69.8679
2854.187,65.8084
2854.3536,62.015
2854.5203,60.8784
2854.687,60.7712
2854.8536,60.1179
2855.0203,57.0438
2855.187,58.4395
2855.3536,58.7315
2855.5203,56.9172
2855.687,53.3106
2855.8536,52.3113
2856.0203,53.6594
2856.187,54.5554
2856.3536,54.0323
2856.5203,50.5385
2856.687,47.6975
2856.8536,46.813
2857.0203,48.6244
2857.187,51.526
2857.3536,51.8206
2857.5203,52.2856
2857.687,52.0085
2857.8536,51.4828
2858.0203,51.9217
2858.187,51.3733
2858.3536,52.7107
2858.5203,51.2868
2858.687,49.5022
2858.8536,50.5943
2859.0203,52.3871
2859.187,54.9402
2859.3536,54.4501
2859.5203,54.385
2859.687,54.4951
2859.8536,52.7572
2860.0203,52.1112
2860.187,52.7657
2860.3536,56.7939
2860.5203,58.2129
2860.687,56.8005
2860.8536,54.1621
2861.0203,52.3105
2861.187,51.5655
2861.3536,48.6324
2861.5203,47.1364
2861.687,47.5351
2861.8536,50.8907
